GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,119,2,14,0,19,2,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,0,70,0,12,0,13,0,9,0,3
Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,110,0,14,2,26,0,12,0,5
Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,107,1,13,0,25,1,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,18,118,1,17,3,23,2,14,1,6
Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,26,0,14,0,13
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,41,5,22,0,3
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,5,43,0,0,0,1,1,3,1,3
Commons Lang,org.apache.commons.lang3,LocaleUtils,0,373,5,59,0,73,5,37,0,10
Commons Lang,org.apache.commons.lang3,EnumUtils,0,64,0,6,0,18,0,8,0,5
Commons Lang,org.apache.commons.lang3,CharSet,0,301,0,34,0,60,0,26,0,9
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,61,1,3,1,10,1,4,0,3
Commons Lang,org.apache.commons.lang3,RandomStringUtils,11,234,1,47,2,51,2,35,1,12
Commons Lang,org.apache.commons.lang3,Range,20,362,5,65,2,82,6,52,1,22
Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},7,76,4,4,2,23,4,3,0,3
Commons Lang,org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
Commons Lang,org.apache.commons.lang3,CharUtils,0,321,0,76,0,62,0,62,0,24
Commons Lang,org.apache.commons.lang3,CharRange,0,241,1,49,0,44,1,38,0,14
Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,484,9,83,21,93,10,47,1,10
Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,29,1,13,1,4
Commons Lang,org.apache.commons.lang3,ClassUtils,43,1126,14,214,14,282,15,138,1,38
Commons Lang,org.apache.commons.lang3,JavaVersion,9,195,0,20,0,36,2,16,2,6
Commons Lang,org.apache.commons.lang3,BooleanUtils,0,666,10,218,0,160,10,142,0,36
Commons Lang,org.apache.commons.lang3,Validate,18,556,8,74,6,108,8,72,2,37
Commons Lang,org.apache.commons.lang3,ArrayUtils,2,4021,3,911,1,1010,3,658,0,204
Commons Lang,org.apache.commons.lang3,ObjectUtils,33,318,0,62,6,75,0,49,0,18
Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,5,28,0,0,0,4,1,4,1,4
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,82,2,6,1,12,2,5,0,3
Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Commons Lang,org.apache.commons.lang3,CharSequenceUtils,30,122,7,21,9,26,6,16,0,8
Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3,StringEscapeUtils,12,423,0,0,3,44,3,11,3,11
Commons Lang,org.apache.commons.lang3,CharSetUtils,0,190,1,39,0,46,1,26,0,7
Commons Lang,org.apache.commons.lang3,SystemUtils,27,322,12,22,3,92,12,20,0,15
Commons Lang,org.apache.commons.lang3,StringUtils,154,4994,29,1114,36,1258,29,709,2,164
Commons Lang,org.apache.commons.lang3,SerializationUtils,5,117,2,12,2,38,2,11,0,6
Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,501,887,118,162,89,203,84,83,3,24
Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,5,214,6,38,2,43,7,24,1,8
Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,41,530,6,60,7,123,7,55,1,28
Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,24,176,8,26,8,47,9,16,1,7
Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,22,433,6,68,7,116,5,46,0,14
Commons Lang,org.apache.commons.lang3.event,EventUtils,27,82,0,0,4,13,0,3,0,3
Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,25,0,2,0,5,0,3,0,2
